,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,29,15,22,0,4,0,0,27,4,4,31,31,7,1,20,5,3,2,8,8,1,22,5,4,30,32,8,2,22,6,3,30,32,8,1,18,5,0,8,0,0,0,0,7,6,28,5377,3831
1,29,15,22,0,4,0,0,27,4,4,30,30,6,1,20,5,4,31,31,7,1,22,5,3,31,31,7,2,20,6,4,1,8,8,1,18,5,0,8,0,0,0,0,7,6,28,9674,5346
2,29,15,22,0,4,0,0,26,4,3,1,1,1,1,19,5,4,1,2,2,1,21,5,3,31,32,8,2,21,6,4,30,32,8,1,18,5,0,8,0,0,0,0,7,6,28,1269,2643
3,29,15,22,0,4,0,0,27,4,3,31,31,7,1,20,5,4,30,32,8,1,20,5,3,0,8,8,2,20,6,4,31,32,8,1,18,5,0,8,0,0,0,0,7,6,28,5928,2325
4,29,15,22,0,4,0,0,27,4,3,2,2,2,1,20,5,4,0,2,2,1,20,5,3,0,2,2,2,20,6,3,31,32,8,1,18,5,0,8,0,0,0,0,7,6,28,3344,8342
5,29,15,22,0,4,0,0,26,4,3,2,2,2,1,21,5,4,31,32,8,1,21,5,4,1,8,8,2,21,6,4,30,32,8,1,18,5,0,8,0,0,0,0,7,6,28,1759,4565
6,29,15,22,0,4,0,0,26,4,3,1,1,1,1,19,5,3,1,2,2,1,20,5,3,1,3,3,2,21,6,3,31,32,8,1,18,5,0,8,0,0,0,0,7,6,28,2415,4822
7,29,15,22,0,4,0,0,27,4,3,30,30,6,1,20,5,4,1,7,7,1,21,5,3,2,8,8,2,20,6,4,1,8,8,1,18,5,0,8,0,0,0,0,7,6,28,5331,1589
8,29,15,22,0,4,0,0,26,4,4,1,1,1,1,20,5,3,31,32,8,1,20,5,3,1,8,8,2,20,6,3,0,8,8,1,18,5,0,8,0,0,0,0,7,6,28,2612,6122
9,29,15,22,0,4,0,0,27,4,3,30,30,6,1,20,5,3,31,31,7,1,22,5,4,30,31,7,2,22,6,4,30,31,7,1,18,5,0,7,0,0,0,0,7,6,28,6377,2133
10,29,15,22,0,4,0,0,27,4,3,30,30,6,1,19,5,3,31,31,7,1,20,5,3,3,8,8,2,20,6,3,0,8,8,1,18,5,0,8,0,0,0,0,7,6,28,5418,1288
11,29,15,22,0,4,0,0,27,4,3,31,31,7,1,20,5,5,1,7,7,1,21,5,4,31,32,8,2,21,6,3,32,32,8,1,18,5,0,8,0,0,0,0,7,6,28,6693,1762
12,29,15,22,0,4,0,0,27,4,4,1,1,1,1,20,5,3,32,32,8,1,21,5,4,2,8,8,2,21,6,3,2,8,8,1,18,5,0,8,0,0,0,0,7,6,28,5933,9898
13,29,15,22,0,4,0,0,27,4,4,31,31,7,1,21,5,4,32,32,8,1,20,5,5,2,8,8,2,22,6,3,1,8,8,1,18,5,0,8,0,0,0,0,7,6,28,6727,3678
14,29,15,22,0,4,0,0,27,4,3,1,1,1,1,20,5,5,1,2,2,1,21,5,3,30,31,7,2,20,6,4,1,7,7,1,18,5,0,7,0,0,0,0,7,6,28,6361,8725
