,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,29,15,22,0,4.0,0.0,0.0,27.0,4.0,4.0,1.0,1.0,1.0,1.0,19.0,5.0,4.0,1.0,2.0,2.0,1.0,21.0,5.0,4.0,31.0,32.0,8.0,2.0,20.0,6.0,3.0,1.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
1,5,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,15,22,0,4.0,0.0,0.0,27.0,4.0,4.0,2.0,2.0,2.0,1.0,20.0,5.0,3.0,1.0,2.0,2.0,1.0,22.0,5.0,3.0,31.0,31.0,7.0,2.0,22.0,6.0,3.0,31.0,31.0,7.0,1.0,18.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
4,3,3,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29,15,22,0,4.0,0.0,0.0,27.0,4.0,3.0,31.0,31.0,7.0,1.0,19.0,5.0,3.0,0.0,7.0,7.0,1.0,20.0,5.0,3.0,0.0,7.0,7.0,2.0,20.0,6.0,3.0,31.0,32.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
7,6,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29,15,22,0,4.0,0.0,0.0,26.0,4.0,5.0,32.0,32.0,8.0,1.0,21.0,5.0,3.0,31.0,32.0,8.0,1.0,20.0,5.0,3.0,31.0,32.0,8.0,2.0,20.0,6.0,4.0,32.0,32.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
10,8,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
